epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3452,0.22008,0.34718,0.7471,0.86217,0.99798,1,0.995,0.99336,0.5484,0.54839,0.36683,0.25664,0.14211,18.9535,0.16051,0.7454,0.071029,2.9e-05,2.9e-05
2,22.5212,0.19661,0.12203,0.21929,0.84424,0.99417,1,0.995,0.995,0.96193,0.96774,0.95165,0.81639,0.12346,1.05431,0.18931,0.75256,0.0410578,5.78318e-05,5.78318e-05
3,34.0349,0.19885,0.12133,0.2215,0.85748,1,0.99843,0.995,0.99403,1,0.99843,0.995,0.99405,0.13017,0.09147,0.19342,0.75421,0.0110855,8.54756e-05,8.54756e-05
4,45.4149,0.18459,0.08818,0.22734,0.84271,0.99881,1,0.995,0.995,0.99881,1,0.995,0.99285,0.13641,0.0699,0.17071,0.75129,9.406e-05,9.406e-05,9.406e-05
5,55.8578,0.17825,0.09248,0.19731,0.84506,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.13655,0.04338,0.13799,0.75496,9.208e-05,9.208e-05,9.208e-05
6,67.1649,0.1733,0.08644,0.18215,0.85072,0.99924,1,0.995,0.995,0.99924,1,0.995,0.995,0.12872,0.04726,0.16089,0.75224,9.01e-05,9.01e-05,9.01e-05
7,78.4115,0.1732,0.09406,0.1847,0.84651,0.99891,1,0.995,0.995,0.99891,1,0.995,0.995,0.12506,0.05128,0.12182,0.74812,8.812e-05,8.812e-05,8.812e-05
8,89.6713,0.1792,0.08639,0.18194,0.85212,0.99884,1,0.995,0.995,0.99884,1,0.995,0.995,0.11977,0.0421,0.1405,0.74954,8.614e-05,8.614e-05,8.614e-05
9,101.018,0.16408,0.07341,0.16481,0.84092,0.99888,1,0.995,0.995,0.99888,1,0.995,0.995,0.13371,0.0405,0.13022,0.74399,8.416e-05,8.416e-05,8.416e-05
10,112.288,0.16643,0.07449,0.16467,0.83236,0.99912,1,0.995,0.995,0.99912,1,0.995,0.995,0.1055,0.0433,0.12591,0.74354,8.218e-05,8.218e-05,8.218e-05
11,123.473,0.16152,0.07234,0.16334,0.84266,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.11892,0.04033,0.11647,0.74759,8.02e-05,8.02e-05,8.02e-05
12,134.673,0.16256,0.09172,0.15352,0.83533,0.99913,1,0.995,0.995,0.99913,1,0.995,0.995,0.09743,0.03962,0.10637,0.74549,7.822e-05,7.822e-05,7.822e-05
13,145.866,0.15734,0.0786,0.16041,0.83711,0.99906,1,0.995,0.995,0.99906,1,0.995,0.995,0.11072,0.04068,0.12027,0.74275,7.624e-05,7.624e-05,7.624e-05
14,157.329,0.15544,0.08778,0.15305,0.83625,0.99911,1,0.995,0.995,0.99911,1,0.995,0.995,0.07894,0.04013,0.11579,0.74172,7.426e-05,7.426e-05,7.426e-05
15,168.596,0.15019,0.07344,0.15304,0.83951,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.10424,0.0384,0.10768,0.74535,7.228e-05,7.228e-05,7.228e-05
16,179.91,0.14718,0.06618,0.15094,0.837,0.99914,1,0.995,0.995,0.99914,1,0.995,0.995,0.09265,0.03878,0.11356,0.74337,7.03e-05,7.03e-05,7.03e-05
17,191.331,0.17103,0.10867,0.16545,0.84527,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.08007,0.03741,0.09371,0.73841,6.832e-05,6.832e-05,6.832e-05
18,202.603,0.15398,0.08358,0.15624,0.83263,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.07398,0.04245,0.09281,0.7383,6.634e-05,6.634e-05,6.634e-05
19,214.118,0.15222,0.0898,0.15678,0.83553,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.07437,0.03699,0.09174,0.73995,6.436e-05,6.436e-05,6.436e-05
20,225.708,0.1443,0.07905,0.14461,0.84109,0.99915,1,0.995,0.995,0.99915,1,0.995,0.995,0.07581,0.03726,0.09355,0.73936,6.238e-05,6.238e-05,6.238e-05
21,237.155,0.14017,0.06678,0.14273,0.83062,0.99914,1,0.995,0.995,0.99914,1,0.995,0.995,0.08982,0.04429,0.09377,0.73797,6.04e-05,6.04e-05,6.04e-05
22,248.639,0.14419,0.06979,0.14246,0.83364,0.99915,1,0.995,0.995,0.99915,1,0.995,0.995,0.0871,0.03793,0.09559,0.73574,5.842e-05,5.842e-05,5.842e-05
23,260.122,0.14483,0.06817,0.14364,0.83583,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.09026,0.03677,0.10601,0.73798,5.644e-05,5.644e-05,5.644e-05
24,271.565,0.1505,0.0744,0.14398,0.84224,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.09206,0.03801,0.09795,0.74018,5.446e-05,5.446e-05,5.446e-05
25,283.28,0.13681,0.06515,0.13254,0.82676,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.08203,0.04076,0.0977,0.73732,5.248e-05,5.248e-05,5.248e-05
26,294.646,0.13445,0.07597,0.13225,0.82899,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.09142,0.0343,0.08518,0.74216,5.05e-05,5.05e-05,5.05e-05
27,306.032,0.13565,0.0617,0.1315,0.82472,0.99917,1,0.995,0.995,0.99917,1,0.995,0.995,0.06974,0.03628,0.08229,0.73982,4.852e-05,4.852e-05,4.852e-05
28,317.519,0.13274,0.06369,0.12682,0.83547,0.99919,1,0.995,0.995,0.99919,1,0.995,0.995,0.08919,0.03826,0.0891,0.74025,4.654e-05,4.654e-05,4.654e-05
29,329.021,0.12848,0.05779,0.12293,0.82391,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.06756,0.03555,0.07713,0.73515,4.456e-05,4.456e-05,4.456e-05
30,340.557,0.13753,0.0643,0.12947,0.83518,0.99916,1,0.995,0.995,0.99916,1,0.995,0.995,0.07621,0.03755,0.09601,0.73881,4.258e-05,4.258e-05,4.258e-05
