epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3503,0.52283,1.80342,1.47162,1.10653,0.57034,0.64706,0.62061,0.24513,0.36673,0.58824,0.36797,0.12964,1.50914,27.3039,3.17627,2.85307,0.084016,1.6e-05,1.6e-05
2,18.3532,0.32792,0.51324,0.45336,0.95222,0.91409,0.62709,0.74104,0.36681,0.3022,0.41176,0.17791,0.06593,1.35556,16.3339,1.20624,2.59364,0.0670323,3.23466e-05,3.23466e-05
3,25.3012,0.29694,0.39614,0.35045,0.92273,0.9951,0.94118,0.96861,0.86074,0.9669,0.88235,0.92488,0.5623,0.48504,5.36908,0.55628,1.14517,0.050048,4.802e-05,4.802e-05
4,32.2518,0.30313,0.4099,0.30077,0.9163,0.9943,0.88235,0.98195,0.93054,0.9943,0.88235,0.96012,0.8497,0.24428,2.27365,0.3354,0.84851,0.033063,6.30202e-05,6.30202e-05
5,39.2074,0.31895,0.48614,0.31419,0.94383,1,0.93988,0.99222,0.93553,1,0.93988,0.99222,0.75527,0.28075,1.92684,0.23129,0.86723,0.0160773,7.73472e-05,7.73472e-05
6,45.4049,0.31347,0.39522,0.30722,0.94135,0.99627,0.88235,0.91232,0.89643,0.99627,0.88235,0.91232,0.83996,0.28756,1.57723,0.26706,0.8864,9.01e-05,9.01e-05,9.01e-05
7,51.5587,0.29945,0.41525,0.29719,0.92364,0.99577,0.88235,0.9039,0.89437,0.99577,0.88235,0.94235,0.89719,0.25978,1.07622,0.27997,0.87437,8.812e-05,8.812e-05,8.812e-05
8,58.6061,0.30361,0.3616,0.27333,0.90641,0.99144,0.88235,0.95507,0.90796,0.99144,0.88235,0.95943,0.91113,0.33223,0.91669,0.32334,0.90824,8.614e-05,8.614e-05,8.614e-05
9,65.4943,0.29873,0.37736,0.26239,0.93313,0.93229,0.94118,0.9698,0.94297,0.93229,0.94118,0.9698,0.91455,0.2753,0.88564,0.27034,0.8653,8.416e-05,8.416e-05,8.416e-05
10,72.423,0.28688,0.3318,0.29019,0.92572,0.99615,0.94118,0.98974,0.97325,0.99615,0.94118,0.98974,0.92815,0.22531,0.84249,0.22773,0.82127,8.218e-05,8.218e-05,8.218e-05
11,79.8093,0.28282,0.33891,0.27481,0.91584,0.94444,0.99987,0.99222,0.97916,0.94444,0.99987,0.99222,0.9242,0.21901,0.91323,0.25858,0.81337,8.02e-05,8.02e-05,8.02e-05
12,86.8315,0.27227,0.31093,0.24484,0.9294,0.98255,0.88235,0.9581,0.93818,0.98255,0.88235,0.9581,0.92096,0.21374,0.78325,0.34668,0.82257,7.822e-05,7.822e-05,7.822e-05
13,93.0284,0.28412,0.31742,0.29133,0.92124,1,0.93644,0.99222,0.97958,1,0.93644,0.99222,0.95047,0.20347,0.52888,0.24576,0.81132,7.624e-05,7.624e-05,7.624e-05
14,99.9713,0.27371,0.35225,0.25683,0.91434,1,0.94093,0.98974,0.97634,1,0.94093,0.98974,0.96434,0.20054,0.46566,0.29063,0.80856,7.426e-05,7.426e-05,7.426e-05
15,107.06,0.2864,0.37602,0.27029,0.9169,0.9984,0.94118,0.98974,0.9744,0.9984,0.94118,0.98974,0.96417,0.21877,0.51419,0.2577,0.81979,7.228e-05,7.228e-05,7.228e-05
16,113.305,0.27429,0.38371,0.23085,0.91275,0.99822,1,0.995,0.9791,0.99822,1,0.995,0.95314,0.20045,0.5397,0.26408,0.82095,7.03e-05,7.03e-05,7.03e-05
17,119.494,0.26191,0.31291,0.23093,0.89625,0.99424,1,0.995,0.99017,0.99424,1,0.995,0.9427,0.19704,0.50027,0.22387,0.81965,6.832e-05,6.832e-05,6.832e-05
18,125.709,0.28748,0.34175,0.23772,0.92606,0.99583,0.88235,0.97547,0.94837,0.99583,0.88235,0.97547,0.9253,0.25482,0.50864,0.28085,0.85141,6.634e-05,6.634e-05,6.634e-05
19,131.978,0.28575,0.31978,0.27804,0.91471,0.99451,0.88235,0.94563,0.9094,0.99451,0.88235,0.9115,0.90023,0.31194,0.64326,0.43102,0.92539,6.436e-05,6.436e-05,6.436e-05
20,138.116,0.28354,0.31677,0.24624,0.9028,0.99223,0.88235,0.9167,0.89742,0.99223,0.88235,0.89931,0.89662,0.29458,0.68142,0.4033,0.90667,6.238e-05,6.238e-05,6.238e-05
21,144.701,0.25128,0.2778,0.2024,0.91065,0.99212,0.88235,0.90969,0.90078,0.99212,0.88235,0.90969,0.89737,0.29547,0.65789,0.39048,0.90039,6.04e-05,6.04e-05,6.04e-05
22,150.906,0.26277,0.31525,0.25054,0.92056,0.99322,0.88235,0.90993,0.89959,0.99322,0.88235,0.90993,0.89592,0.29893,0.68573,0.39736,0.89769,5.842e-05,5.842e-05,5.842e-05
23,157.054,0.26254,0.29775,0.22191,0.905,0.99421,0.88235,0.9025,0.89776,0.99421,0.88235,0.9025,0.89244,0.2795,0.78378,0.36041,0.88556,5.644e-05,5.644e-05,5.644e-05
24,163.257,0.2615,0.34122,0.22402,0.90219,0.99554,0.88235,0.90362,0.88007,0.99554,0.88235,0.90344,0.89414,0.27353,0.80329,0.34419,0.88561,5.446e-05,5.446e-05,5.446e-05
25,169.504,0.26484,0.31174,0.22696,0.91416,0.99634,0.88235,0.89168,0.89168,0.99634,0.88235,0.89168,0.89168,0.27396,0.85918,0.3809,0.89753,5.248e-05,5.248e-05,5.248e-05
26,175.729,0.26108,0.31623,0.23606,0.91919,0.99635,0.88235,0.89775,0.89577,0.99635,0.88235,0.90248,0.89376,0.26567,0.81753,0.39442,0.90125,5.05e-05,5.05e-05,5.05e-05
27,181.958,0.25016,0.29176,0.21272,0.90069,0.99657,0.88235,0.9183,0.90774,0.99657,0.88235,0.90559,0.89787,0.24791,0.71722,0.35005,0.88135,4.852e-05,4.852e-05,4.852e-05
28,188.188,0.25245,0.30321,0.19809,0.89677,0.99658,0.88235,0.95905,0.93058,0.99658,0.88235,0.92502,0.90511,0.25989,0.69422,0.28069,0.87744,4.654e-05,4.654e-05,4.654e-05
29,194.34,0.24759,0.30249,0.20008,0.90746,1,0.93816,0.98196,0.93784,0.9964,0.88235,0.9299,0.9073,0.26646,0.72913,0.2495,0.88073,4.456e-05,4.456e-05,4.456e-05
30,200.543,0.22864,0.28496,0.18848,0.89585,1,0.93869,0.979,0.93593,0.99591,0.88235,0.93042,0.90997,0.25373,0.75547,0.25523,0.87813,4.258e-05,4.258e-05,4.258e-05
31,206.754,0.24751,0.36598,0.20689,0.89729,0.99867,0.94118,0.96797,0.91467,0.9917,0.88235,0.92157,0.89874,0.25366,0.85735,0.23382,0.87309,4.06e-05,4.06e-05,4.06e-05
32,213.333,0.26188,0.31305,0.2189,0.91071,0.9972,0.94118,0.95466,0.90434,0.98032,0.88235,0.89088,0.89088,0.26912,1.00862,0.26423,0.88456,3.862e-05,3.862e-05,3.862e-05
33,219.498,0.24955,0.28005,0.20157,0.90135,0.99701,0.94118,0.95434,0.92695,0.94097,0.93781,0.95081,0.89699,0.27784,1.03988,0.27671,0.89305,3.664e-05,3.664e-05,3.664e-05
34,225.601,0.25037,0.28589,0.20344,0.886,0.99848,0.94118,0.95681,0.91905,0.94095,0.9376,0.94459,0.89674,0.28895,0.91223,0.27809,0.88337,3.466e-05,3.466e-05,3.466e-05
35,231.834,0.23412,0.28666,0.17786,0.88849,1,0.93819,0.95191,0.92413,0.99618,0.88235,0.94524,0.89651,0.28401,0.84106,0.3104,0.88487,3.268e-05,3.268e-05,3.268e-05
36,237.989,0.25415,0.29273,0.19781,0.90603,0.99638,0.88235,0.91841,0.90305,0.99638,0.88235,0.90952,0.89271,0.28587,0.75976,0.37002,0.89802,3.07e-05,3.07e-05,3.07e-05
37,244.2,0.246,0.26841,0.19984,0.90124,0.99555,0.88235,0.91153,0.89763,0.99555,0.88235,0.89615,0.89197,0.2709,0.74236,0.37974,0.88944,2.872e-05,2.872e-05,2.872e-05
